标的代码,市场,策略ID,周期,方向,入场时间(UTC),出场时间(UTC),入场价,出场价,收益率,持仓K线数,模型概率,回归预测,短周期预测,综合评分
ETHUSDT-PERP,加密期货,MOM_FAST,1d,做空,2025-06-15T00:00:00.000Z,2025-06-19T00:00:00.000Z,2374.7824406074287,2350.403410085939,0.00846579534386907,4,0.17836862629125613,-0.003081984385281297,-0.00017913487348758842,0.614430464152546
BTCUSDT-PERP,加密期货,MOM_SWING,1d,做空,2025-06-15T00:00:00.000Z,2025-06-22T00:00:00.000Z,104782.43218532103,99176.15670994407,0.03852797297066134,7,0.1730384765400302,-0.0012216457377119368,-0.0005013829504024712,0.6035854627928737
ETHUSDT-PERP,加密期货,MOM_TIGHT,1d,做空,2025-06-15T00:00:00.000Z,2025-06-16T00:00:00.000Z,2374.7824406074287,2491.570562577397,-0.05117845103322223,1,0.17836862629125613,-0.003081984385281297,-0.00017913487348758842,0.614230464152546
ETHUSDT,加密现货,MOM_SWING,1d,做空,2025-06-15T00:00:00.000Z,2025-06-21T00:00:00.000Z,2372.6170727848657,2117.3400298919228,0.07909476712691073,6,0.1782527670205021,-0.003099977963185876,-0.00017907071390372344,0.6148578314507255
ETHUSDT,加密现货,MOM_FAST,1d,做空,2025-06-15T00:00:00.000Z,2025-06-19T00:00:00.000Z,2372.6170727848657,2347.9466458913957,0.008597980852642611,4,0.1782527670205021,-0.003099977963185876,-0.00017907071390372344,0.6146578314507255
ETHUSDT,加密现货,MOM_TIGHT,1d,做空,2025-06-15T00:00:00.000Z,2025-06-16T00:00:00.000Z,2372.6170727848657,2487.49174208669,-0.050416860276146384,1,0.1782527670205021,-0.003099977963185876,-0.00017907071390372344,0.6144578314507255
ETHUSDT-PERP,加密期货,MOM_FAST,1d,做空,2025-06-19T00:00:00.000Z,2025-06-21T00:00:00.000Z,2350.403410085939,2139.338257146461,0.06687023904064224,2,0.19889845223553831,-0.004452679755926032,0.0005241290897471402,0.6106145524378206
ETHUSDT-PERP,加密期货,MOM_TIGHT,1d,做空,2025-06-19T00:00:00.000Z,2025-06-21T00:00:00.000Z,2350.403410085939,2189.0006460733966,0.0508232608004941,2,0.19889845223553831,-0.004452679755926032,0.0005241290897471402,0.6104145524378206
ETHUSDT,加密现货,MOM_FAST,1d,做空,2025-06-19T00:00:00.000Z,2025-06-21T00:00:00.000Z,2347.9466458913957,2139.8956246394864,0.06596041527999483,2,0.19864208598292035,-0.00451511124743106,0.0005203960552210849,0.6112985880717459
ETHUSDT-PERP,加密期货,MOM_SWING,1d,做空,2025-06-20T00:00:00.000Z,2025-06-22T00:00:00.000Z,2243.374429877596,1985.5288594326462,0.08460236339426576,2,0.22268328670619758,-0.002820281214881575,-0.00039053554919358163,0.5806302832905903
BTCUSDT-PERP,加密期货,MOM_TIGHT,1d,做空,2025-06-21T00:00:00.000Z,2025-06-22T00:00:00.000Z,101352.25528870279,97549.0835698809,0.026864840732480078,1,0.17911468877307607,-0.0017223546510617676,-0.0013691608951319095,0.6028162612918794
ETHUSDT-PERP,加密期货,MOM_TIGHT,1d,做空,2025-06-22T00:00:00.000Z,2025-06-23T00:00:00.000Z,2076.3491591777683,2201.5812919416517,-0.06231361932088296,1,0.1917412542234531,-0.0019026379233709361,-0.0016513022695652869,0.5951674003460812
XPEV,美股,US_BETA,1d,做空,2025-06-25T00:00:00.000Z,2025-06-26T00:00:00.000Z,12.963064040850059,12.376662768480164,0.033783433862321126,1,0.19001643373394717,-0.003382858053284594,-0.000387000330060816,0.6080510321378347
PATH,美股,MOM_SWING,1d,做空,2025-06-25T00:00:00.000Z,2025-07-03T00:00:00.000Z,17.756581997371523,18.465893521720645,-0.04154639984508956,6,0.1811601100545498,-0.0013525003401562241,-0.0001342307527830315,0.5987847234819739
JD,美股,US_BETA,1d,做空,2025-06-26T00:00:00.000Z,2025-06-30T00:00:00.000Z,27.034919943789916,26.27278809009512,0.02022437737998483,2,0.17933220782887496,-0.0030260467005986933,-0.000027715026093199373,0.6128891839679996
