symbol,market,strategy_id,timeframe,direction,entryDate,exitDate,entry,exit,pnl,holdDays,prob,regPred,tsPred,score
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-10T00:00:00.000Z,2025-12-17T00:00:00.000Z,91321.95655572078,85587.22263851076,0.050147238153237815,7,0.19091253465201513,-0.007276409613821188,0.0015436854083249816,0.6391542519611185
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-10T00:00:00.000Z,2025-12-17T00:00:00.000Z,91409.89821132708,85675.72962666006,0.049943515808837116,7,0.19124109009778784,-0.005606074495425906,0.002136959675902813,0.6255550110929999
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-11T00:00:00.000Z,2025-12-18T00:00:00.000Z,91818.3929480761,84299.54868658127,0.059816160913533874,7,0.17283541800957744,-0.011871784718418472,-0.0021381038484894876,0.688932776780452
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-11T00:00:00.000Z,2025-12-18T00:00:00.000Z,91904.6312478646,84444.17455935964,0.05928205175741593,7,0.17404557160097361,-0.010159388882401057,-0.0015306081465463835,0.6743622995065074
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-12T00:00:00.000Z,2025-12-19T00:00:00.000Z,89586.5142153251,87472.0923330054,0.03098659529516044,7,0.18397122749647282,-0.007020366690670538,0.001974382851103685,0.6421036497279038
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-12T00:00:00.000Z,2025-12-19T00:00:00.000Z,89674.44334459907,87556.98872979418,0.030814789522387368,7,0.18443783747617387,-0.0053405826249911924,0.0025658516983549495,0.6283294180170843
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-13T00:00:00.000Z,2025-12-20T00:00:00.000Z,89548.48718767069,87691.31864386951,0.028430003658077473,7,0.14405543569161006,-0.018015897384522625,-0.007186430923953003,0.7588072653782217
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-13T00:00:00.000Z,2025-12-20T00:00:00.000Z,89646.22028568854,87779.47504706278,0.028297764427362784,7,0.14399124556821022,-0.01635329284675172,-0.006603921298354509,0.7455526459649023
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-14T00:00:00.000Z,2025-12-21T00:00:00.000Z,87490.75834135794,87989.67691567505,0.015424002901316885,7,0.1552164640579266,-0.011532416056040688,-0.0024131036536187765,0.6989034743266184
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-14T00:00:00.000Z,2025-12-21T00:00:00.000Z,87591.98691231506,88075.47443576326,0.01533127717521077,7,0.155941115183927,-0.009891115668459375,-0.0018332044456664549,0.6852513224152476
